wateryear,"(48.28125, -122.46875)","(48.28125, -122.40625)","(48.28125, -122.34375)","(48.28125, -122.28125)","(48.28125, -122.21875)","(48.28125, -122.15625)","(48.28125, -122.09375)","(48.28125, -122.03125)","(48.34375, -122.46875)","(48.34375, -122.40625)","(48.34375, -122.34375)","(48.34375, -122.28125)","(48.34375, -122.21875)","(48.34375, -122.15625)","(48.34375, -122.09375)","(48.34375, -122.03125)","(48.40625, -122.46875)","(48.40625, -122.40625)","(48.40625, -122.34375)","(48.40625, -122.28125)","(48.40625, -122.21875)","(48.40625, -122.15625)","(48.40625, -122.09375)","(48.40625, -122.03125)","(48.46875, -122.46875)","(48.46875, -122.40625)","(48.46875, -122.34375)","(48.46875, -122.28125)","(48.46875, -122.21875)","(48.46875, -122.15625)","(48.46875, -122.09375)","(48.46875, -122.03125)","(48.53125, -122.46875)","(48.53125, -122.40625)","(48.53125, -122.34375)","(48.53125, -122.28125)","(48.53125, -122.21875)","(48.53125, -122.15625)","(48.53125, -122.09375)","(48.53125, -122.03125)","(48.59375, -122.46875)","(48.59375, -122.40625)","(48.59375, -122.34375)","(48.59375, -122.28125)","(48.59375, -122.21875)","(48.59375, -122.15625)","(48.59375, -122.09375)","(48.59375, -122.03125)","(48.65625, -122.46875)","(48.65625, -122.40625)","(48.65625, -122.34375)","(48.65625, -122.28125)","(48.65625, -122.21875)","(48.65625, -122.15625)","(48.65625, -122.09375)","(48.65625, -122.03125)","(48.71875, -122.46875)","(48.71875, -122.40625)","(48.71875, -122.34375)","(48.71875, -122.28125)","(48.71875, -122.21875)","(48.71875, -122.15625)","(48.71875, -122.09375)","(48.71875, -122.03125)"
1986,,,140.28424072265625,217.285888671875,271.1048278808594,301.989013671875,373.090576171875,384.8777160644531,,89.46759033203125,116.03113555908203,222.25921630859375,265.8443298339844,380.282958984375,524.143798828125,563.5126953125,108.36882781982422,120.39095306396484,122.5055923461914,136.9556427001953,229.90847778320312,872.0414428710938,1893.5435791015625,1756.8228759765625,,122.75360870361328,121.74850463867188,177.93006896972656,319.1280517578125,582.6880493164062,751.02392578125,820.4024047851562,115.36541748046875,120.28652954101562,126.74793243408203,200.9300537109375,332.0116882324219,623.2578125,746.3116455078125,390.6473083496094,,206.96070861816406,188.43801879882812,315.92999267578125,573.1982421875,2048.865234375,1313.7926025390625,1268.4322509765625,514.2755126953125,637.1596069335938,738.4796752929688,893.8013305664062,722.3848876953125,696.1085205078125,973.1395263671875,1866.8233642578125,453.3033447265625,784.9625854492188,906.0323486328125,1545.476318359375,697.857666015625,377.3328857421875,985.0050048828125,1817.338134765625
1987,,,212.06455993652344,308.33294677734375,373.3255310058594,410.8147277832031,504.7465515136719,447.2857360839844,,140.0753936767578,195.27796936035156,333.91748046875,365.19329833984375,526.32373046875,690.613037109375,786.9336547851562,130.93804931640625,143.46925354003906,155.75245666503906,212.48226928710938,291.55938720703125,938.8092651367188,2050.405517578125,2037.6002197265625,,147.43746948242188,161.52203369140625,222.46807861328125,391.09112548828125,644.6392211914062,842.5930786132812,1014.257568359375,138.84837341308594,153.08956909179688,189.638916015625,266.5361328125,398.9883728027344,781.1510009765625,740.4376831054688,516.8600463867188,,306.884033203125,326.9469909667969,725.7395629882812,1047.9613037109375,2254.272705078125,1443.9735107421875,1291.98046875,376.1189270019531,680.7708129882812,977.6951293945312,1318.713623046875,1330.8140869140625,1325.958251953125,1050.44140625,2129.300048828125,315.7994384765625,568.0030517578125,852.3700561523438,1762.7752685546875,1389.005859375,1011.9862670898438,969.7979125976562,1733.0267333984375
1988,,,155.20420837402344,220.96693420410156,278.53216552734375,304.5866394042969,433.6319580078125,425.2255859375,,110.06576538085938,154.2774200439453,273.9635009765625,298.38629150390625,410.4622802734375,694.5682373046875,706.44677734375,109.54362487792969,114.89550018310547,130.40286254882812,177.35572814941406,239.1894073486328,828.4171752929688,1835.2734375,1778.5567626953125,,120.20820617675781,139.4879913330078,186.71498107910156,299.8874206542969,566.25390625,699.9331665039062,860.5545043945312,115.848388671875,133.4442901611328,166.9522247314453,212.5083770751953,312.1053466796875,663.18798828125,780.6549682617188,348.04119873046875,,250.4022216796875,256.4197998046875,459.92138671875,733.5846557617188,2094.70849609375,1087.1605224609375,772.4183349609375,276.4827880859375,468.1449890136719,739.3672485351562,1090.90673828125,1129.7666015625,1155.9776611328125,785.3803100585938,1373.524658203125,230.30007934570312,401.01165771484375,553.3180541992188,1322.2119140625,1134.3743896484375,517.1602783203125,732.4881591796875,1068.964111328125
1989,,,122.84497833251953,199.4550323486328,251.22457885742188,292.1206970214844,399.92822265625,360.88568115234375,,88.95851135253906,119.58164978027344,204.49362182617188,212.83470153808594,266.6927795410156,354.9855651855469,344.3210144042969,96.85578155517578,123.86314392089844,124.3852767944336,125.1684799194336,149.6173858642578,424.4554443359375,1152.4140625,940.4801025390625,,121.25247192382812,112.75475311279297,121.9312515258789,225.30064392089844,351.17401123046875,403.75286865234375,397.4350280761719,93.55328369140625,79.41651916503906,99.19232940673828,154.22520446777344,236.6570587158203,376.9282531738281,414.5479736328125,279.88970947265625,,178.37388610839844,183.85629272460938,280.8295593261719,395.9730529785156,1178.3380126953125,606.3145751953125,688.2373657226562,157.71044921875,259.93115234375,406.3504638671875,625.02001953125,618.61083984375,579.2811279296875,571.0183715820312,1301.7442626953125,139.16165161132812,187.0543670654297,271.2614440917969,546.921875,366.94244384765625,292.17291259765625,657.7578125,1446.623291015625
1990,,,196.80520629882812,360.71600341796875,345.8351745605469,300.35736083984375,361.4208679199219,326.41180419921875,,164.7200927734375,253.99188232421875,385.8958740234375,462.4015197753906,447.8731384277344,516.8208618164062,542.444580078125,143.92613220214844,145.061767578125,178.92213439941406,209.21893310546875,315.0423583984375,969.680419921875,1243.630859375,1260.678466796875,,140.33645629882812,197.8886260986328,280.3596496582031,371.19781494140625,666.2033081054688,645.0830078125,570.3265380859375,190.6831817626953,201.86990356445312,196.04811096191406,254.109375,391.4043884277344,665.7203369140625,731.966064453125,418.6728210449219,,307.2364501953125,344.8953552246094,413.8169860839844,634.2748413085938,1950.22119140625,1062.646240234375,665.7203369140625,305.1348876953125,597.5036010742188,826.4983520507812,924.3331298828125,902.7559204101562,1129.17919921875,839.1209106445312,1474.427001953125,280.5293273925781,468.3146667480469,680.6533813476562,1189.0286865234375,990.10888671875,559.570556640625,711.1329345703125,1614.09765625
1991,,,140.6497344970703,212.14288330078125,264.995849609375,295.7234191894531,387.0576477050781,350.2341613769531,,78.45056915283203,112.23262023925781,197.44482421875,226.5798797607422,303.9600830078125,443.5916442871094,510.99908447265625,72.8637466430664,91.21673583984375,90.23773956298828,114.99992370605469,166.23428344726562,579.5813598632812,1506.3685302734375,1580.96826171875,,88.7496566772461,81.12651062011719,126.0169448852539,243.62753295898438,370.0882873535156,583.6278686523438,781.35986328125,80.72185516357422,84.4681625366211,100.34102630615234,147.35916137695312,257.0333251953125,488.65179443359375,491.0144348144531,297.7727966308594,,151.3534698486328,162.13552856445312,243.75807189941406,396.93902587890625,1655.0460205078125,937.9868774414062,1082.53955078125,205.51177978515625,287.0690612792969,380.2438049316406,571.0966796875,530.1875,517.734619140625,786.6986694335938,1753.0635986328125,233.17181396484375,315.61669921875,358.0008850097656,803.2894897460938,662.8877563476562,417.9026794433594,773.8541870117188,1915.0032958984375
1992,,,150.5050048828125,227.95046997070312,309.7427062988281,370.1013488769531,453.2772216796875,469.13702392578125,,128.2360076904297,181.7416534423828,313.59344482421875,321.37322998046875,305.00433349609375,427.6274108886719,517.4605102539062,141.5634765625,131.52545166015625,147.18946838378906,232.54525756835938,349.6859130859375,1087.1995849609375,1953.0537109375,1587.0250244140625,,147.48968505859375,177.36878967285156,296.4804992675781,565.8623046875,934.3319702148438,914.2297973632812,852.879150390625,170.3069305419922,187.60260009765625,246.66896057128906,351.0043029785156,592.4258422851562,922.4534301757812,903.6566162109375,361.8255310058594,,289.7710876464844,338.3556213378906,613.4678344726562,1050.663330078125,2657.229248046875,1307.318115234375,905.6668090820312,339.7784423828125,396.35162353515625,526.1148681640625,868.5692138671875,1007.1434936523438,1303.3759765625,1012.521484375,1888.76611328125,344.73870849609375,574.1903076171875,633.4785766601562,1043.131591796875,835.33544921875,720.5704956054688,1135.8624267578125,2379.140869140625
1993,,,130.74224853515625,209.64968872070312,260.740478515625,295.4101257324219,342.3238525390625,316.0735778808594,,78.71163940429688,114.1384048461914,204.20645141601562,228.38124084472656,283.2444152832031,336.436767578125,366.8641052246094,79.4034652709961,95.3676986694336,96.00731658935547,122.75360870361328,166.3648223876953,492.9854736328125,993.4244384765625,937.9085693359375,,91.13842010498047,89.40232849121094,142.82965087890625,261.2626037597656,420.552490234375,330.34088134765625,347.349365234375,60.68497848510742,77.86317443847656,109.50447082519531,175.21498107910156,278.62353515625,460.40435791015625,496.5360107421875,253.7047119140625,,149.4738006591797,180.20135498046875,290.3062744140625,436.5428466796875,1319.5882568359375,621.5086669921875,542.7839965820312,117.9891357421875,276.2608947753906,362.9742126464844,555.5892944335938,557.3384399414062,549.1801147460938,420.0042724609375,1009.33642578125,124.51580810546875,168.03564453125,228.81199645996094,451.2017517089844,366.7988586425781,263.92547607421875,422.9543151855469,1056.785400390625
1994,,,90.04193878173828,114.39946746826172,139.0963897705078,141.34156799316406,153.5594940185547,156.33985900878906,,85.00334930419922,112.80696105957031,171.25982666015625,162.2791290283203,204.24560546875,245.89881896972656,263.0509033203125,97.37791442871094,111.07086944580078,115.41763305664062,132.8699493408203,158.84609985351562,428.8022155761719,949.0822143554688,926.082275390625,,115.61343383789062,121.17415618896484,126.173583984375,187.8245086669922,289.81024169921875,335.510009765625,354.64617919921875,109.8569107055664,116.42273712158203,133.52261352539062,150.16561889648438,192.1060028076172,307.75860595703125,345.1694641113281,177.22518920898438,,202.7705841064453,207.01292419433594,296.0236511230469,412.3941650390625,1339.6904296875,654.2203369140625,665.1590576171875,260.3358154296875,404.71881103515625,602.1766967773438,796.749755859375,755.6317138671875,911.253662109375,564.1131591796875,1105.513427734375,216.5940704345703,369.5400390625,510.42474365234375,1077.187744140625,906.18896484375,604.9439697265625,569.8174438476562,1449.19482421875
1995,,,112.78085327148438,164.18490600585938,185.94482421875,196.71383666992188,224.11279296875,215.18431091308594,,73.49030303955078,109.12592315673828,198.7240447998047,212.1559295654297,251.15931701660156,284.4975280761719,301.4407653808594,69.5481948852539,76.45341491699219,88.67134094238281,132.8568878173828,187.47206115722656,575.9786376953125,1031.4488525390625,859.0794677734375,,83.29336547851562,96.90799713134766,141.65484619140625,233.04127502441406,362.8828430175781,353.0406188964844,358.4708251953125,81.41368103027344,94.54534149169922,122.14009857177734,161.46981811523438,234.9470672607422,404.2749938964844,406.1938171386719,234.21607971191406,,186.55833435058594,187.3806915283203,305.905029296875,533.881591796875,1376.7879638671875,718.312255859375,643.7254638671875,283.6490783691406,409.1569519042969,627.95703125,812.4529418945312,801.6838989257812,853.7928466796875,599.9967651367188,1241.9339599609375,236.9703369140625,400.0718078613281,544.9116821289062,1083.0748291015625,821.7338256835938,620.1903076171875,619.172119140625,1407.7635498046875
